street;city;zip;state;beds;baths;sq__ft;type;sale_date;price;latitude;longitude
840 TRANQUIL LN;GALT;95632;CA;3;2;1266;Residential;1912-04-27 07:00:28;140000;38.270617;-121.299205
5333 PRIMROSE DR Unit 19A;FAIR OAKS;95628;CA;2;2;994;Condo;1902-03-03 01:50:12;142500;38.662785;-121.276272
1035 MILLET WAY;SACRAMENTO;95834;CA;3;2;1202;Residential;1967-10-31 04:53:13;143500;38.631056;-121.48508
5201 LAGUNA OAKS DR Unit 126;ELK GROVE;95758;CA;0;0;0;Condo;1956-03-31 18:03:01;145000;38.423251;-121.444489
3328 22ND AVE;SACRAMENTO;95820;CA;2;1;722;Residential;1962-04-12 08:59:35;145000;38.532727;-121.470783
8001 HARTWICK WAY;SACRAMENTO;95828;CA;4;2;1448;Residential;1928-02-28 21:17:59;145000;38.488623;-121.410582
7812 HARTWICK WAY;SACRAMENTO;95828;CA;3;2;1188;Residential;1930-01-07 06:30:50;145000;38.488611;-121.412808
4207 PAINTER WAY;NORTH HIGHLANDS;95660;CA;4;2;1183;Residential;1986-07-07 20:25:13;146000;38.692915;-121.367497
7458 WINKLEY WAY;SACRAMENTO;95822;CA;3;1;1320;Residential;1958-07-20 07:12:09;148500;38.487444;-121.491366
8354 SUNRISE WOODS WAY;SACRAMENTO;95828;CA;3;2;1117;Residential;1953-03-30 21:22:14;149000;38.473288;-121.3963
8116 COTTONMILL CIR;SACRAMENTO;95828;CA;3;2;1364;Residential;1958-06-17 09:50:22;150000;38.482876;-121.405912
4660 CEDARWOOD WAY;SACRAMENTO;95823;CA;4;2;1310;Residential;2000-10-10 09:19:28;150000;38.484834;-121.449316
9254 HARROGATE WAY;ELK GROVE;95758;CA;2;2;1006;Residential;1951-12-06 01:43:01;152000;38.420138;-121.412179
6716 TAREYTON WAY;CITRUS HEIGHTS;95621;CA;3;2;1104;Residential;1997-02-23 09:43:26;156000;38.693724;-121.307169
2028 ROBERT WAY;SACRAMENTO;95825;CA;2;1;810;Residential;1960-04-24 10:00:30;156000;38.609982;-121.419263
9346 AIZENBERG CIR;ELK GROVE;95624;CA;2;2;1123;Residential;1925-10-13 20:55:29;156000;38.41875;-121.370019
4524 LOCH HAVEN WAY;SACRAMENTO;95842;CA;2;1;904;Residential;2017-10-21 18:02:52;157788;38.67273;-121.359645
7140 BLUE SPRINGS WAY;CITRUS HEIGHTS;95621;CA;3;2;1156;Residential;1928-12-28 08:32:10;161653;38.720653;-121.302241
4631 11TH AVE;SACRAMENTO;95820;CA;2;1;1321;Residential;1950-11-02 00:23:27;161829;38.541965;-121.452132
3228 BAGGAN CT;ANTELOPE;95843;CA;3;2;1392;Residential;1953-02-26 08:13:43;165000;38.715346;-121.388163
8515 DARTFORD DR;SACRAMENTO;95823;CA;3;2;1439;Residential;1946-11-27 19:40:43;168000;38.448288;-121.420719
4500 TIPPWOOD WAY;SACRAMENTO;95842;CA;3;2;1159;Residential;1950-08-23 05:02:11;169000;38.69951;-121.359989
